Manufacturer,Origin,Market_Share_2026_Proj,Key_Model_2026,Platform_Strategy,Battery_Sourcing,Software_Stack
Tesla,USA,18.5,Model 2 (Compact),Unboxed Process,Internal (4680) & CATL,Full Self-Driving v14
Volkswagen Group,Germany,14.2,ID.2all,MEB Entry / SSP,PowerCo (Salzgitter),Cariad 2.0
Stellantis,EU,11.8,Citroën e-C3 / Fiat Panda,Smart Car Platform,ACC (Total/Mercedes),STLA Brain
BYD,China,9.5,Dolphin / Seal,e-Platform 3.0 Evo,Internal (Blade LFP),DiLink 5.0
Renault Group,France,7.2,Renault 5 E-Tech,AmpR Small,AESC Envision,OpenR Link (Google)
BMW Group,Germany,6.5,i3 (Neue Klasse),Neue Klasse,CATL / EVE (Gen6),BMW OS 10
Hyundai-Kia,S. Korea,6.0,Ioniq 3,E-GMP / IMA,SK On / LGES,ccOS
MG (SAIC),China,5.5,MG4 Refresh,MSP (Modular),SAIC-CATL,iSmart
Mercedes-Benz,Germany,4.8,CLA Electric,MMA (Electric First),ACC / CATL,MB.OS
Geely (Volvo/Polestar),China/Sweden,4.5,EX30 / Polestar 4,SEA Platform,Northvolt / CATL,Android Automotive
Ford,USA,3.5,Puma Gen-E,Global Electrified,BlueOval SK,Sync 5
Toyota,Japan,2.5,bZ3X,e-TNGA / Next-Gen,Prime Planet Energy,Arene OS
